ID fornecimento,Data,ID Und Reab,Política Pública,Origem das mudas,Finalidade da doação,SomaDequant
2980,05-jan.-24,2231,Programa Reflorestar (convencional),Granja do Ipê,Convencional,700
2981,04-jan.-24,2323,Programa Reflorestar (convencional),Granja do Ipê,Convencional,540
2982,05-jan.-24,2231,Programa Reflorestar (convencional),Granja do Ipê,Convencional,1200
2983,05-jan.-24,372,Programa Reflorestar (convencional),Granja do Ipê,Convencional,100
2984,05-jan.-24,241,Produtor de Água Pipiripau,Granja do Ipê,Convencional,200
2985,05-jan.-24,210,Produtor de Água Pipiripau,Granja do Ipê,Convencional,200
2986,09-jan.-24,2336,Programa Reflorestar (convencional),Granja do Ipê,Convencional,215
2987,09-jan.-24,2211,Programa Reflorestar (convencional),Granja do Ipê,Convencional,500
2988,10-jan.-24,222,Programa Reflorestar (convencional),Granja do Ipê,Convencional,198
2989,10-jan.-24,2344,Programa Reflorestar (convencional),Granja do Ipê,Convencional,445
2990,09-jan.-24,2347,Programa Reflorestar (convencional),Granja do Ipê,Convencional,2000
2991,10-jan.-24,255,Produtor de Água Pipiripau,Granja do Ipê,Convencional,200
2992,10-jan.-24,2348,Produtor de Água Pipiripau,Granja do Ipê,Convencional,200
2993,10-jan.-24,262,Produtor de Água Pipiripau,Granja do Ipê,Convencional,50
2994,10-jan.-24,2349,Produtor de Água Pipiripau,Granja do Ipê,Convencional,50
2995,10-jan.-24,237,Produtor de Água Pipiripau,Granja do Ipê,Convencional,400
2996,10-jan.-24,2350,Produtor de Água Pipiripau,Granja do Ipê,Convencional,300
2997,11-jan.-24,2351,Produtor de Água Pipiripau,Granja do Ipê,Convencional,100
2998,11-jan.-24,2352,Produtor de Água Pipiripau,Granja do Ipê,Convencional,100
2999,11-jan.-24,2353,Produtor de Água Pipiripau,Granja do Ipê,Convencional,35
3000,01-fev.-24,2339,Programa Reflorestar (convencional),Granja do Ipê,Convencional,250
3001,12-jan.-24,2196,Programa Reflorestar (convencional),Granja do Ipê,Convencional,100
3002,12-jan.-24,2347,Produtor de Água Pipiripau,Granja do Ipê,Convencional,1500
3003,15-jan.-24,2358,Programa Reflorestar (convencional),Granja do Ipê,Convencional,500
3004,15-jan.-24,2354,Programa Reflorestar (convencional),Granja do Ipê,Convencional,500
3005,15-jan.-24,2355,Programa Reflorestar (convencional),Granja do Ipê,Convencional,500
3006,15-jan.-24,2347,Produtor de Água Pipiripau,Granja do Ipê,Convencional,1500
3007,17-jan.-24,2380,Produtor de Água Pipiripau,Granja do Ipê,Convencional,50
3008,17-jan.-24,2361,Produtor de Água Pipiripau,Granja do Ipê,Convencional,100
3009,17-jan.-24,2362,Produtor de Água Pipiripau,Granja do Ipê,Convencional,70
3010,17-jan.-24,2363,Produtor de Água Pipiripau,Granja do Ipê,Convencional,50
3011,17-jan.-24,2364,Produtor de Água Pipiripau,Granja do Ipê,Convencional,60
3012,17-jan.-24,2365,Produtor de Água Pipiripau,Granja do Ipê,Convencional,40
3013,17-jan.-24,2366,Produtor de Água Pipiripau,Granja do Ipê,Convencional,50
3015,17-jan.-24,2367,Produtor de Água Pipiripau,Granja do Ipê,Convencional,50
3016,17-jan.-24,2368,Produtor de Água Pipiripau,Granja do Ipê,Convencional,40
3017,18-jan.-24,232,Produtor de Água Pipiripau,Granja do Ipê,Convencional,1000
3018,17-jan.-24,2357,Programa Reflorestar (convencional),Granja do Ipê,Convencional,350
3019,18-jan.-24,2379,Produtor de Água Pipiripau,Granja do Ipê,Convencional,100
3020,18-jan.-24,399,Produtor de Água Pipiripau,Granja do Ipê,Convencional,15
3021,18-jan.-24,2378,Produtor de Água Pipiripau,Granja do Ipê,Convencional,65
3022,18-jan.-24,2377,Produtor de Água Pipiripau,Granja do Ipê,Convencional,50
3023,18-jan.-24,2376,Produtor de Água Pipiripau,Granja do Ipê,Convencional,50
3024,18-jan.-24,2375,Produtor de Água Pipiripau,Granja do Ipê,Convencional,50
3025,18-jan.-24,2374,Produtor de Água Pipiripau,Granja do Ipê,Convencional,50
3026,18-jan.-24,2373,Produtor de Água Pipiripau,Granja do Ipê,Convencional,50
3027,18-jan.-24,2372,Produtor de Água Pipiripau,Granja do Ipê,Convencional,65
3028,18-jan.-24,2371,Produtor de Água Pipiripau,Granja do Ipê,Convencional,50
3029,18-jan.-24,400,Produtor de Água Pipiripau,Granja do Ipê,Convencional,55
3030,19-jan.-24,241,Produtor de Água Pipiripau,Granja do Ipê,Convencional,500
3031,19-jan.-24,2381,Produtor de Água Pipiripau,Granja do Ipê,Convencional,150
3032,22-jan.-24,2358,Programa Reflorestar (convencional),Granja do Ipê,Convencional,450
3033,23-jan.-24,1517,Programa Reflorestar (convencional),Granja do Ipê,Convencional,110
3034,22-jan.-24,2272,Programa Reflorestar (convencional),Granja do Ipê,Convencional,250
3035,24-jan.-24,240,Produtor de Água Pipiripau,Granja do Ipê,Convencional,320
